"filename", "language", "CSV", "JSON", "Markdown", "JavaScript", "JavaScript JSX", "Properties", "comment", "blank", "total"
"c:\Users\21365\Desktop\op\server\app\routes\epnote.routes.js", "JavaScript", 0, 0, 0, 7, 0, 0, 3, 4, 14
"c:\Users\21365\Desktop\op\server\app\routes\inpectionDepReport.routes.js", "JavaScript", 0, 0, 0, 7, 0, 0, 3, 4, 14
"c:\Users\21365\Desktop\op\server\app\routes\inspection.routes.js", "JavaScript", 0, 0, 0, 6, 0, 0, 3, 5, 14
"c:\Users\21365\Desktop\op\server\app\routes\junction.routes.js", "JavaScript", 0, 0, 0, 8, 0, 0, 5, 10, 23
"c:\Users\21365\Desktop\op\server\app\routes\manufold.routes.js", "JavaScript", 0, 0, 0, 10, 0, 0, 5, 12, 27
"c:\Users\21365\Desktop\op\server\app\routes\pipe.routes.js", "JavaScript", 0, 0, 0, 14, 0, 0, 6, 12, 32
"c:\Users\21365\Desktop\op\server\app\routes\telemetry.routes.js", "JavaScript", 0, 0, 0, 6, 0, 0, 1, 3, 10
"c:\Users\21365\Desktop\op\server\app\routes\user.routes.js", "JavaScript", 0, 0, 0, 23, 0, 0, 0, 6, 29
"c:\Users\21365\Desktop\op\server\app\routes\well.routes.js", "JavaScript", 0, 0, 0, 11, 0, 0, 7, 8, 26
"c:\Users\21365\Desktop\op\server\draft.js", "JavaScript", 0, 0, 0, 30, 0, 0, 16, 11, 57
"c:\Users\21365\Desktop\op\server\initroles.js", "JavaScript", 0, 0, 0, 26, 0, 0, 0, 5, 31
"c:\Users\21365\Desktop\op\server\package.json", "JSON", 0, 38, 0, 0, 0, 0, 0, 1, 39
"c:\Users\21365\Desktop\op\server\server.js", "JavaScript", 0, 0, 0, 125, 0, 0, 10, 33, 168
"c:\Users\21365\Desktop\op\server\uploads\1716044846140-file1.csv", "CSV", 85, 0, 0, 0, 0, 0, 0, 4, 89
"c:\Users\21365\Desktop\op\server\uploads\1716045012580-file1.csv", "CSV", 85, 0, 0, 0, 0, 0, 0, 4, 89
"c:\Users\21365\Desktop\op\server\uploads\1716045039939-file1.csv", "CSV", 85, 0, 0, 0, 0, 0, 0, 4, 89
"c:\Users\21365\Desktop\op\server\uploads\1716045660510-file.csv", "CSV", 31, 0, 0, 0, 0, 0, 0, 1, 32
"c:\Users\21365\Desktop\op\server\uploads\1716045826528-file.csv", "CSV", 31, 0, 0, 0, 0, 0, 0, 1, 32
"c:\Users\21365\Desktop\op\server\uploads\1716045945626-file.csv", "CSV", 31, 0, 0, 0, 0, 0, 0, 1, 32
"c:\Users\21365\Desktop\op\server\uploads\1716046008138-file.csv", "CSV", 31, 0, 0, 0, 0, 0, 0, 1, 32
"c:\Users\21365\Desktop\op\server\uploads\1716046187145-file.csv", "CSV", 31, 0, 0, 0, 0, 0, 0, 1, 32
"c:\Users\21365\Desktop\op\server\uploads\1716046750472-file.csv", "CSV", 31, 0, 0, 0, 0, 0, 0, 1, 32
"c:\Users\21365\Desktop\op\server\uploads\1716046829643-file.csv", "CSV", 31, 0, 0, 0, 0, 0, 0, 1, 32
"c:\Users\21365\Desktop\op\server\uploads\1716397429888-file.csv", "CSV", 11, 0, 0, 0, 0, 0, 0, 1, 12
"c:\Users\21365\Desktop\op\server\uploads\1716397464013-file.csv", "CSV", 31, 0, 0, 0, 0, 0, 0, 1, 32
"c:\Users\21365\Desktop\op\server\uploads\1716397505179-file.csv", "CSV", 31, 0, 0, 0, 0, 0, 0, 1, 32
"c:\Users\21365\Desktop\op\server\uploads\1717065022965-file.csv", "CSV", 31, 0, 0, 0, 0, 0, 0, 1, 32
"c:\Users\21365\Desktop\op\server\uploads\1717065086246-fiile.csv", "CSV", 3, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\21365\Desktop\op\server\uploads\1717065138135-fiile.csv", "CSV", 3, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\21365\Desktop\op\server\uploads\1717073985547-fiile.csv", "CSV", 3, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\21365\Desktop\op\server\uploads\1717074050837-fiile.csv", "CSV", 3, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\21365\Desktop\op\server\uploads\1717074249597-fiile.csv", "CSV", 3, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\21365\Desktop\op\server\uploads\fiile.csv", "CSV", 3, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\21365\Desktop\op\server\uploads\file.csv", "CSV", 31, 0, 0, 0, 0, 0, 0, 1, 32
"Total", "-", 625, 38, 44, 2163, 2, 1, 310, 502, 3685
